fulldate,month,dayofmonth,bankholiday,schoolholiday,weekend,mean,max
8.05.2019,5,8,False,False,False,20.94405594,49
9.05.2019,5,9,False,False,False,20.56643357,56
10.05.2019,5,10,False,False,False,26.55749129,65
11.05.2019,5,11,False,False,True,21.88053097,56
12.05.2019,5,12,False,False,True,12.78745645,42
13.05.2019,5,13,False,False,False,21.68181818,56
14.05.2019,5,14,False,False,False,21.23859649,54
15.05.2019,5,15,False,False,False,21.67017544,56
16.05.2019,5,16,False,False,False,23.01393728,58
17.05.2019,5,17,False,False,False,27.20701754,71
18.05.2019,5,18,False,False,True,17.56491228,45
19.05.2019,5,19,True,False,True,11.03146853,45
20.05.2019,5,20,False,False,False,15.42735043,45
21.05.2019,5,21,False,False,False,,
22.05.2019,5,22,False,False,False,32.21374046,60
23.05.2019,5,23,False,False,False,24.88850174,62
24.05.2019,5,24,False,False,False,30.12237762,67
25.05.2019,5,25,False,False,True,21.68181818,53
26.05.2019,5,26,False,False,True,13.44599303,45
27.05.2019,5,27,False,False,False,24.71428571,60
28.05.2019,5,28,False,False,False,25.90940767,62
29.05.2019,5,29,False,False,False,27.8041958,63
30.05.2019,5,30,False,False,False,30.30633803,71
31.05.2019,5,31,False,False,False,29.52112676,60
1.06.2019,6,1,False,False,True,20.4341637,45
2.06.2019,6,2,False,False,True,10.37979094,27
3.06.2019,6,3,True,False,False,7.655052265,26
4.06.2019,6,4,True,False,False,20.75087719,56
5.06.2019,6,5,True,False,False,19.7754386,49
6.06.2019,6,6,True,False,False,13.46315789,31
7.06.2019,6,7,False,False,False,8.972125436,24
8.06.2019,6,8,False,False,True,9.045296167,18
9.06.2019,6,9,False,False,True,7.797202797,18
10.06.2019,6,10,False,False,False,19.68989547,56
11.06.2019,6,11,False,False,False,24.51048951,54
12.06.2019,6,12,False,False,False,24.86759582,56
13.06.2019,6,13,False,False,False,27.38811189,63
14.06.2019,6,14,False,False,False,29.15679443,67
15.06.2019,6,15,False,True,True,26.12982456,54
16.06.2019,6,16,False,True,True,20.29965157,44
17.06.2019,6,17,False,True,False,27.73426573,62
18.06.2019,6,18,False,True,False,28.71886121,63
19.06.2019,6,19,False,True,False,30.08391608,63
20.06.2019,6,20,False,True,False,31.17192982,67
21.06.2019,6,21,False,True,False,31.29473684,67
22.06.2019,6,22,False,True,True,30.24561404,58
23.06.2019,6,23,False,True,True,19.49122807,47
24.06.2019,6,24,False,True,False,29.1184669,65
25.06.2019,6,25,False,True,False,29.96842105,63
26.06.2019,6,26,False,True,False,28.62020906,62
27.06.2019,6,27,False,True,False,30.60147601,60
28.06.2019,6,28,False,True,False,30.51048951,60
29.06.2019,6,29,False,True,True,26.41463415,81
30.06.2019,6,30,False,True,True,19.12152778,36
1.07.2019,7,1,False,True,False,25.70486111,49
2.07.2019,7,2,False,True,False,24.37847222,53
3.07.2019,7,3,False,True,False,25.18055556,54
4.07.2019,7,4,False,True,False,26.23958333,54
5.07.2019,7,5,False,True,False,27.14236111,56
6.07.2019,7,6,False,True,True,22.22569444,40
7.07.2019,7,7,False,True,True,16.32631579,33
8.07.2019,7,8,False,True,False,24.56597222,56
9.07.2019,7,9,False,True,False,24.20486111,51
10.07.2019,7,10,False,True,False,24.73611111,49
11.07.2019,7,11,False,True,False,28.88194444,53
12.07.2019,7,12,False,True,False,25.54513889,56
13.07.2019,7,13,False,True,True,21.12847222,40
14.07.2019,7,14,False,True,True,16.13541667,36
15.07.2019,7,15,True,True,False,16.5,31
16.07.2019,7,16,False,True,False,22.36458333,51
17.07.2019,7,17,False,True,False,23.16027875,49
18.07.2019,7,18,False,True,False,14.86231884,35
19.07.2019,7,19,False,True,False,,
20.07.2019,7,20,False,True,True,,
21.07.2019,7,21,False,True,True,,
22.07.2019,7,22,False,True,False,,
23.07.2019,7,23,False,True,False,,
24.07.2019,7,24,False,True,False,,
25.07.2019,7,25,False,True,False,,
26.07.2019,7,26,False,True,False,,
27.07.2019,7,27,False,True,True,,
28.07.2019,7,28,False,True,True,,
29.07.2019,7,29,False,True,False,,
30.07.2019,7,30,False,True,False,,
31.07.2019,7,31,False,True,False,,
1.08.2019,8,1,False,True,False,,
2.08.2019,8,2,False,True,False,,
3.08.2019,8,3,False,True,True,,
4.08.2019,8,4,False,True,True,,
5.08.2019,8,5,False,True,False,,
6.08.2019,8,6,False,True,False,,
7.08.2019,8,7,False,True,False,,
8.08.2019,8,8,False,True,False,,
9.08.2019,8,9,False,True,False,,
10.08.2019,8,10,False,True,True,,
11.08.2019,8,11,False,True,True,,
12.08.2019,8,12,False,True,False,,
13.08.2019,8,13,False,True,False,,
14.08.2019,8,14,False,True,False,,
15.08.2019,8,15,False,True,False,,
16.08.2019,8,16,False,True,False,,
17.08.2019,8,17,False,True,True,,
18.08.2019,8,18,False,True,True,,
19.08.2019,8,19,False,True,False,,
20.08.2019,8,20,False,True,False,,
21.08.2019,8,21,False,True,False,,
22.08.2019,8,22,False,True,False,,
23.08.2019,8,23,False,True,False,,
24.08.2019,8,24,False,True,True,,
25.08.2019,8,25,False,True,True,,
26.08.2019,8,26,False,True,False,,
27.08.2019,8,27,False,True,False,,
28.08.2019,8,28,False,True,False,,
29.08.2019,8,29,False,True,False,,
30.08.2019,8,30,True,True,False,,
31.08.2019,8,31,False,True,True,,
1.09.2019,9,1,False,True,True,,
2.09.2019,9,2,False,True,False,,
3.09.2019,9,3,False,True,False,,
4.09.2019,9,4,False,True,False,,
5.09.2019,9,5,False,True,False,,
6.09.2019,9,6,False,True,False,,
7.09.2019,9,7,False,True,True,,
8.09.2019,9,8,False,True,True,,
9.09.2019,9,9,False,False,False,22.59861592,51
10.09.2019,9,10,False,False,False,25.46180556,54
11.09.2019,9,11,False,False,False,25.86666667,60
12.09.2019,9,12,False,False,False,26.55208333,58
13.09.2019,9,13,False,False,False,30.75438596,69
14.09.2019,9,14,False,False,True,27.19791667,54
15.09.2019,9,15,False,False,True,21.10069444,45
16.09.2019,9,16,False,False,False,24.87847222,58
17.09.2019,9,17,False,False,False,26.37847222,58
18.09.2019,9,18,False,False,False,27.27083333,62
19.09.2019,9,19,False,False,False,27.90972222,63
20.09.2019,9,20,False,False,False,37.625,80
21.09.2019,9,21,False,False,True,29.05555556,62
22.09.2019,9,22,False,False,True,22.81978799,54
23.09.2019,9,23,False,False,False,25.38194444,60
24.09.2019,9,24,False,False,False,28.06620209,67
25.09.2019,9,25,False,False,False,26.34035088,54
26.09.2019,9,26,False,False,False,27.55208333,67
27.09.2019,9,27,False,False,False,28.10763889,62
28.09.2019,9,28,False,False,True,25.48611111,56
29.09.2019,9,29,False,False,True,21.27208481,53
30.09.2019,9,30,False,False,False,25.47887324,58
1.10.2019,10,1,False,False,False,27.52777778,67
2.10.2019,10,2,False,False,False,28.33333333,63
3.10.2019,10,3,False,False,False,29.31597222,65
4.10.2019,10,4,False,False,False,30.79166667,67
5.10.2019,10,5,False,False,True,30.62847222,60
6.10.2019,10,6,False,False,True,21.78819444,45
7.10.2019,10,7,False,False,False,25.78819444,58
8.10.2019,10,8,False,False,False,35.97916667,72
9.10.2019,10,9,False,False,False,27.68402778,65
10.10.2019,10,10,False,False,False,28.66319444,65
11.10.2019,10,11,False,False,False,30.02083333,67
12.10.2019,10,12,False,False,True,28.05208333,60
13.10.2019,10,13,False,False,True,21.77430556,53
14.10.2019,10,14,False,False,False,25.89930556,63
15.10.2019,10,15,False,False,False,26.61458333,62
16.10.2019,10,16,False,False,False,26.22648084,62
17.10.2019,10,17,False,False,False,28.45833333,62
18.10.2019,10,18,False,False,False,27.65972222,69
19.10.2019,10,19,False,False,True,26.6875,58
20.10.2019,10,20,False,False,True,20.77083333,54
21.10.2019,10,21,False,False,False,24.17192982,62
22.10.2019,10,22,False,False,False,28.36458333,65
23.10.2019,10,23,False,False,False,29.17013889,67
24.10.2019,10,24,False,False,False,29.87017544,69
25.10.2019,10,25,False,False,False,32.50347222,74
26.10.2019,10,26,False,False,True,26.60763889,63
27.10.2019,10,27,False,False,True,16.6445993,63
28.10.2019,10,28,True,False,False,20.08127208,53
29.10.2019,10,29,True,False,False,16.18055556,36
30.10.2019,10,30,False,False,False,25.61805556,60
31.10.2019,10,31,False,False,False,32.74216028,80
1.11.2019,11,1,False,False,False,37.77351916,71
2.11.2019,11,2,False,False,True,27.98263889,60
3.11.2019,11,3,False,False,True,30.04861111,65
4.11.2019,11,4,False,False,False,27.04181185,62
5.11.2019,11,5,False,False,False,30.70138889,65
